記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
1051,傑3,754/2000,0.2007,0.16149999999999998,0.31989999999999996,0.1311,0.1097,0.4797,0.2913,0.19820000000000002,12.513,7444,5815,2.553,0.11320000000000001,0.48469999999999996,0.14529999999999998,0.10880000000000001,3000,8729,7269,0.7555,0.2445,0.1918,10.114,0.1189,0.2473,0.0105,0.7689,0.4314,豪1,1545/2800,5,0.3106,0.1149,10710,0.1782,0.3106,0.1722,0.26899999999999996,0.1167,1494,939,555,-84,10527,0.47866238166417546,0.3904319880418535,0.1311
285,豪1,672/2800,0.2053,0.1418,0.33159999999999995,0.1402,0.1035,0.4542,0.25730000000000003,0.1938,12.751,6996,5686,2.547,0.10529999999999999,0.4746,0.1558,0.09960000000000001,2903,8763,6727,0.6993,0.3007,0.1848,10.373,0.10869999999999999,0.1985,0.0199,0.7156,0.4493,豪1,2241/2800,5,0.3282,0.1054,10961,0.21289999999999998,0.2228,0.12279999999999999,0.32880000000000004,0.10369999999999999,1437,806,630,-39,2849,0.4480150024354603,0.41208105211885054,0.1402
739,豪3,1034/3600,0.2352,0.1641,0.3329,0.0641,0.0984,0.5366,0.3532,0.21960000000000002,12.302,6938,5919,2.467,0.1096,0.5049,0.14029999999999998,0.1082,3062,8311,6870,0.7706999999999999,0.2293,0.20579999999999998,9.722,0.11560000000000001,0.21420000000000003,0.014199999999999999,0.733,0.4456,豪3,1800/3600,5,0.3611,0.1026,11004,0.18780000000000002,0.36060000000000003,0.16760000000000003,0.3094,0.0934,1632,971,661,62,7367,0.47141173469387754,0.4646261904761905,0.0641
598,豪1,812/2800,0.2366,0.1328,0.3292,0.0507,0.1116,0.4315,0.2984,0.23629999999999998,12.213,6377,5908,2.421,0.0803,0.5104,0.1273,0.1015,2911,7899,7475,0.8178,0.1822,0.2024,9.754,0.1134,0.2357,0.0111,0.7302,0.4597,豪2,1868/3200,7,0.32289999999999996,0.11449999999999999,10509,0.22649999999999998,0.31679999999999997,0.141,0.3486,0.1096,1509,784,725,81,6085,0.509752831783601,0.43965443786982245,0.0507
227,豪1,1526/2800,0.233,0.1459,0.35359999999999997,0.09759999999999999,0.11289999999999999,0.5399,0.29059999999999997,0.218,12.445,7405,5716,2.366,0.0529,0.5,0.1024,0.065,3388,8515,7042,0.7656999999999999,0.2343,0.1772,9.811,0.1496,0.2323,0.0138,0.7303000000000001,0.45280000000000004,豪1,1655/2800,4,0.28350000000000003,0.10279999999999999,11331,0.15289999999999998,0.3029,0.1521,0.3486,0.1152,1726,834,892,279,2330,0.4678111587982833,0.43477751072961374,0.09759999999999999
155,豪2,2289/3200,0.20989999999999998,0.11810000000000001,0.3119,0.1193,0.1226,0.3822,0.2561,0.19260000000000002,12.477,7967,6368,2.368,0.0774,0.5633,0.1233,0.0667,3827,8557,6651,0.7833,0.2167,0.2167,9.536,0.09,0.2544,0.01,0.73,0.49329999999999996,豪3,1873/3600,3,0.3077,0.1185,10205,0.2011,0.2717,0.1253,0.2982,0.1454,1672,752,920,246,1558,0.5168727012863269,0.36383525488327784,0.11930000000000002
272,傑3,1082/2000,0.2162,0.128,0.3425,0.0516,0.1076,0.4083,0.3729,0.1887,12.250,6376,5682,2.526,0.08460000000000001,0.5186999999999999,0.1479,0.12619999999999998,2712,7691,7655,0.8284,0.1716,0.217,9.495,0.09269999999999999,0.1977,0.002,0.7613,0.47340000000000004,傑3,1505/2000,4,0.3004,0.1182,11396,0.218,0.3721,0.1277,0.2874,0.10880000000000001,1379,727,651,16,2687,0.45272289546716,0.4957051803885291,0.0516
564,傑3,789/2000,0.17980000000000002,0.1318,0.32549999999999996,0.1496,0.1297,0.3306,0.2581,0.1646,12.403,7415,5485,2.528,0.07980000000000001,0.5207999999999999,0.1195,0.0907,3594,8756,6781,0.8292,0.17079999999999998,0.21239999999999998,9.449,0.1185,0.2336,0.0213,0.7748,0.4963,豪1,1482/2800,4,0.3381,0.1149,10546,0.1493,0.31329999999999997,0.16,0.26,0.1157,1333,723,610,-86,5691,0.4767724137931033,0.37322580645161285,0.1496
527,豪1,2030/2800,0.2262,0.1309,0.29600000000000004,0.1204,0.1069,0.40490000000000004,0.24239999999999998,0.1954,12.192,6581,5461,2.400,0.0797,0.541,0.1288,0.0935,3280,7898,6429,0.7890999999999999,0.2109,0.2023,9.561,0.0964,0.2205,0.0095,0.7414000000000001,0.5057,豪2,1743/3200,5,0.3492,0.0931,10545,0.1923,0.2137,0.11539999999999999,0.3846,0.0946,1489,715,774,128,5362,0.4673359858532272,0.41214429708222805,0.1204
125,士3,500/1000,0.2109,0.1711,0.3185,0.0926,0.1094,0.3857,0.3125,0.1961,12.236,6129,5856,2.768,0.14400000000000002,0.498,0.1793,0.1474,2410,7805,7451,0.753,0.247,0.2271,9.811,0.0916,0.21600000000000003,0.0239,0.7198,0.40090000000000003,傑1,971/1200,4,0.336,0.10550000000000001,10828,0.20550000000000002,0.3607,0.1975,0.3,0.0775,1293,1002,291,-389,1280,0.4630526315789473,0.4445234708392603,0.0926
191,傑1,596/1200,0.1912,0.1809,0.31079999999999997,0.0351,0.109,0.5735,0.2036,0.2832,12.821,7561,6127,2.702,0.1309,0.47450000000000003,0.1533,0.1131,2731,8179,6475,0.7318000000000001,0.2682,0.20989999999999998,10.085,0.1223,0.1654,0.0055000000000000005,0.7518,0.40509999999999996,傑2,1098/1400,4,0.2923,0.0864,10779,0.24,0.2229,0.198,0.2462,0.12179999999999999,1446,1108,337,-326,1935,0.7028158995815899,0.2621669456066945,0.0351
353,豪1,1046/2800,0.2006,0.1318,0.3172,0.005699999999999999,0.12179999999999999,0.38170000000000004,0.2168,0.2585,12.294,7417,5862,2.470,0.08779999999999999,0.5155,0.10490000000000001,0.07730000000000001,3314,8209,6967,0.7968999999999999,0.20309999999999997,0.21850000000000003,9.932,0.12359999999999999,0.2484,0.024300000000000002,0.7162999999999999,0.39399999999999996,豪1,1566/2800,4,0.35119999999999996,0.1105,10578,0.20559999999999998,0.2576,0.1566,0.3053,0.0895,1488,773,715,11,3505,0.6642908773678963,0.32995533399800603,0.005699999999999999
365,豪1,1641/2800,0.2073,0.1379,0.3166,0.2162,0.1206,0.46020000000000005,0.23929999999999998,0.1678,12.694,7037,5587,2.405,0.07400000000000001,0.504,0.1304,0.09380000000000001,3256,8592,7049,0.7774,0.22260000000000002,0.20829999999999999,9.889,0.1192,0.2271,0.0048,0.8351999999999999,0.5642,豪1,2019/2800,5,0.3628,0.1043,10945,0.1586,0.2495,0.1438,0.32549999999999996,0.1282,1459,771,688,48,3748,0.4079652677279305,0.375746020260492,0.2162
632,傑2,982/1400,0.24960000000000002,0.1746,0.30870000000000003,0.0417,0.09,0.6474,0.2751,0.2878,12.367,6710,5875,2.472,0.09179999999999999,0.514,0.1284,0.0943,3021,7913,6724,0.7745000000000001,0.2255,0.1991,9.771,0.1075,0.20809999999999998,0.0143,0.6576000000000001,0.3884,豪1,2473/2800,6,0.3479,0.1047,10364,0.2116,0.2821,0.179,0.33159999999999995,0.0935,1675,1026,649,71,6335,0.592665064102564,0.3654774038461538,0.041699999999999994
274,傑2,500/1400,0.21789999999999998,0.1764,0.355,0.0717,0.0852,0.5207999999999999,0.3396,0.21539999999999998,12.710,6682,5832,2.609,0.1058,0.4843,0.1582,0.1153,2377,7702,7396,0.7282,0.2718,0.1845,10.267,0.1137,0.18710000000000002,0.0165,0.6919,0.39039999999999997,傑2,1187/1400,4,0.3095,0.10339999999999999,11240,0.1932,0.3521,0.18289999999999998,0.2884,0.07629999999999999,1456,1029,427,-181,2818,0.4787435520881138,0.4494751720972923,0.0717
605,豪1,1397/2800,0.24539999999999998,0.1732,0.31329999999999997,0.0273,0.08689999999999999,0.5549000000000001,0.3436,0.2645,12.275,6683,6050,2.531,0.1124,0.49340000000000006,0.1507,0.107,2676,7817,6507,0.7372,0.26280000000000003,0.21660000000000001,9.793,0.09820000000000001,0.22460000000000002,0.0108,0.6808,0.3971,豪1,1612/2800,5,0.3312,0.1119,10684,0.2302,0.3443,0.1736,0.315,0.0868,1640,1048,592,-39,5969,0.5318023634881828,0.4410513447432764,0.027299999999999998
